item_name,item_description,vegetarian,healthy
Alexandrian Beans,Delicious traditional Egyptian dish made with seasoned fava beans.,1,1
Beans With Special Mixture,A unique blend of fava beans mixed with a special selection of spices.,1,1
Beans With Eggs,"Fava beans served with perfectly cooked eggs, seasoned with herbs.",,1
Omlette,Fluffy omelette made with fresh eggs and a mix of vegetables.,,1
Eggs With Pastrami,Scrambled eggs mixed with savory pastrami slices.,,1
Eggs With Sausage,"Eggs cooked with flavorful sausages, served with herbs.",,1
Flafel,Crispy and golden falafel balls made from ground chickpeas and herbs.,1,
White Cheese With Tomatoes,Fresh white cheese paired with juicy tomato slices.,1,1
Four Season Salads,A healthy mix of seasonal vegetables and greens.,1,1
Greek Salad,"A traditional Greek salad with fresh tomatoes, cucumbers, olives, and feta cheese.",1,1
Chicken Caesar Salad,"A classic Caesar salad with grilled chicken, romaine lettuce, and Caesar dressing.",,1
Koshari Aleskndrani,"A classic Egyptian dish with rice, lentils, and pasta topped with crispy onions.",1,1
Tahina,A creamy tahini sauce made from ground sesame seeds.,1,1
Yogurt,Plain yogurt perfect as a side dish or for mixing with fruit.,,1
Coleslaw,Crunchy cabbage and carrot slaw dressed in a tangy sauce.,,1
Pomme Frites,Crispy French fries seasoned with salt.,1,
Cheese Garlic Bread,Toasted bread topped with garlic butter and melted cheese.,,1
Chicken Nuggets,Tender chicken pieces breaded and fried until golden.,,
Chicken Cream Soup,A rich and creamy soup made with tender chicken and vegetables.,,
Mushroom Cream Soup,Smooth and creamy soup made with fresh mushrooms and herbs.,,
Seafood Cream Soup,A luxurious soup made with a variety of seafood in a creamy broth.,,
Lentil Soup,Hearty and healthy soup made with lentils and spices.,1,1
Shrimp Soup,A flavorful soup made with tender shrimp and aromatic spices.,,1
Bread,"Freshly baked bread, perfect for any meal.",1,1
Rice,"Steamed white rice, a staple side dish.",1,1
Pasta,Simple pasta served with a light sauce.,1,1
Sauteed Vegetables,A mix of fresh vegetables sautéed to perfection.,1,1
Pickles,Assorted pickled vegetables for a tangy bite.,1,
Crisper Chicken,Crispy fried chicken with a golden crust.,,
Chicken Ala Gril,Grilled chicken seasoned with herbs and spices.,,1
Shish Tawook,Marinated chicken skewers grilled to perfection.,,1
Chicken Musahab,Grilled boneless chicken marinated with spices.,,1
Grilled Kofta,Spiced ground beef skewers grilled on an open flame.,,1
Grilled Beef Fillet,Tender beef fillet grilled to your liking.,,1
American Steak,"Juicy steak cooked to perfection, served with a side.",,1
Beef Stroganoff,Creamy beef stroganoff served with mushrooms and onions.,,1
Jambo Shrimp,Jumbo shrimp fried until golden and crispy.,,
Grilled Shrimp,Succulent shrimp grilled with herbs and spices.,,1
Grilled Fish Fillet,Fish fillet grilled to perfection with a hint of lemon.,,1
Gilt Head Bream Grilled,Whole gilt-head bream fish grilled with herbs.,,1
Grilled Mullet Fish,Grilled mullet fish served with a side of vegetables.,,1
Beef Liver Iskandrani,Sautéed beef liver with a blend of spices.,,
Grilled Chicken Herbs,Chicken grilled with a mix of fresh herbs.,,
Golden Shrimp,Golden fried shrimp served with a dipping sauce.,,
Fried Calamari,Crispy fried calamari rings served with a lemon wedge.,,
Julian Steak Mushroom,Steak sandwich with sautéed mushrooms and onions.,,
Kofta Sandwich,Grilled kofta served in a sandwich with fresh vegetables.,,1
Philadelphia Cheese Steak,Classic cheese steak sandwich with onions and peppers.,,
Negresco,Baked pasta dish with chicken and creamy sauce.,,
Spaghetti Seafood,Spaghetti with a variety of seafood in a light sauce.,,
Quattro Formaggi Pasta,Pasta with a rich four-cheese sauce.,,
Penna Arrabiata,Penne pasta in a spicy arrabiata sauce.,,1
Margarita,Classic margarita pizza with fresh tomatoes and mozzarella.,,
Salami,Pizza topped with spicy salami and cheese.,,
Quattro Formaggi Pizza,Pizza with four different types of cheese.,,
